//use: NPCid - x y plane (optional: MapAreaName canBeAttackFromOutOfArea?)
//Hans spawned by andreas
0 - 3221 3223 0
11236 - 3253 3228 0
//Goblin spawned by andreas
11236 - 3258 3225 0
//Goblin spawned by andreas
11236 - 3263 3228 0
//Goblin spawned by andreas
11236 - 3263 3236 0
//Goblin spawned by andreas
11236 - 3261 3242 0
//Goblin spawned by andreas
11236 - 3264 3246 0
//Goblin spawned by andreas
11236 - 3257 3248 0
//Goblin spawned by andreas
11236 - 3250 3242 0
//Goblin spawned by andreas
11236 - 3245 3245 0
//Goblin spawned by andreas
11236 - 3247 3246 0
//Goblin spawned by andreas
11236 - 3246 3239 0
//Goblin spawned by andreas
11236 - 3249 3236 0
//Goblin spawned by andreas
11236 - 3253 3236 0
//Goblin spawned by andreas
11236 - 3253 3240 0
//Goblin spawned by andreas
11236 - 3244 3238 0
12352 - 3244 3237 0
//Goblin spawned by andreas
11236 - 3247 3231 0
12352 - 3247 3231 0
520 - 3214 3242 0
521 - 3217 3240 0
//Chicken spawned by andreas
41 - 3231 3298 0
//Chicken spawned by andreas
41 - 3229 3299 0
//Chicken spawned by andreas
41 - 3227 3297 0
//Chicken spawned by andreas
41 - 3225 3300 0
//Chicken spawned by andreas
41 - 3228 3299 0
//Chicken spawned by andreas
41 - 3234 3295 0
//Chicken spawned by andreas
41 - 3236 3300 0
//Chicken spawned by andreas
1017 - 3231 3298 0
//Chicken spawned by andreas
41 - 3231 3301 0
//Chicken spawned by andreas
41 - 3227 3300 0
//Chicken spawned by andreas
1017 - 3227 3300 0
//Chicken spawned by andreas
1017 - 3228 3296 0
//Chicken spawned by andreas
1017 - 3233 3294 0
//Chicken spawned by andreas
1017 - 3236 3292 0
//Chicken spawned by andreas
1017 - 3231 3298 0
//Chicken spawned by andreas
1017 - 3230 3298 0
//Farmer spawned by andreas
1757 - 3229 3308 0
//Cow spawned by andreas
12362 - 3246 3291 0
//Cow spawned by andreas
12363 - 3256 3293 0
//Cow calf spawned by andreas
12364 - 3258 3286 0
//Cow spawned by andreas
12365 - 3249 3284 0
//Cow spawned by andreas
12362 - 3261 3271 0
//Cow spawned by andreas
12363 - 3261 3261 0
//Cow spawned by andreas
12362 - 3256 3262 0
//Cow spawned by andreas
12363 - 3256 3275 0
//Cow spawned by andreas
12362 - 3255 3258 0
//Zeke spawned by andreas
541 - 3288 3189 0
//Silk trader spawned by andreas
539 - 3299 3204 0
//Gem trader spawned by andreas
540 - 3285 3212 0
//Louie Legs spawned by andreas
542 - 3316 3175 0
//Shopkeeper spawned by andreas
524 - 3317 3183 0
//Shop assistant spawned by andreas
525 - 3313 3181 0
//Dommik spawned by andreas
545 - 3320 3194 0
107 - 3299 3279 0
107 - 3296 3299 0
//Bob spawned by andreas
519 - 3230 3202 0
//Father Aereck spawned by andreas
456 - 3244 3207 0
//Goblin spawned by andreas
//Man spawned by andreas
7873 - 3223 3214 0
//Man spawned by andreas
7874 - 3223 3222 0
//Woman spawned by andreas
7882 - 3235 3214 0
//Woman spawned by andreas
7882 - 3236 3203 0
//Man spawned by andreas
7876 - 3233 3227 0
//Man spawned by andreas
7875 - 3222 3238 0
//Man spawned by andreas
7878 - 3223 3247 0
//Man spawned by andreas
7879 - 3214 3246 0
//Dark wizard spawned by andreas
8873 - 3230 3367 0
//Dark wizard spawned by andreas
8873 - 3224 3371 0
//Dark wizard spawned by andreas
8873 - 3229 3373 0
//Dark wizard spawned by andreas
8872 - 3227 3373 0
//Dark wizard spawned by andreas
8872 - 3234 3364 0
//Dark wizard spawned by andreas
8872 - 3224 3362 0
//Dark wizard spawned by andreas
8872 - 3223 3368 0
//Lowe spawned by andreas
550 - 3231 3425 0
//Aubury spawned by andreas
5913 - 3253 3401 0
//Shopkeeper spawned by andreas
//Shop assistant spawned by andreas
//Zaff spawned by andreas
546 - 3202 3433 0
//Guard spawned by andreas
5919 - 3175 3428 0
//Guard spawned by andreas
5920 - 3173 3430 0
//Guard spawned by andreas
5920 - 3175 3417 1
//Guard spawned by andreas
5919 - 3175 3405 1
//Guard spawned by andreas
5919 - 3217 3461 0
//Guard spawned by andreas
5919 - 3212 3466 0
//Guard spawned by andreas
5919 - 3208 3464 0
//Guard spawned by andreas
5919 - 3209 3462 0
//Guard spawned by andreas
5919 - 3212 3380 0
//Guard spawned by andreas
5919 - 3209 3379 0
//Guard spawned by andreas
5919 - 3205 3379 0
//Gypsy Aris spawned by andreas
9361 - 3203 3424 0
//Thessalia spawned by andreas
548 - 3205 3417 0
//Baraek spawned by andreas
547 - 3219 3433 0
//Horvik spawned by andreas
549 - 3229 3438 0
//Ranael spawned by andreas
544 - 3315 3163 0
//Shop assistant spawned by andreas
552 - 3203 3397 0
//Shopkeeper spawned by andreas
551 - 3206 3401 0
//Peksa spawned by andreas
538 - 3075 3430 0
//Cassie spawned by andreas
577 - 2976 3383 0
//Flynn spawned by andreas
580 - 2950 3387 0
//Herquin spawned by andreas
584 - 2945 3335 0
//Wayne spawned by andreas
581 - 2972 3312 0
//Drogo dwarf spawned by andreas
579 - 3035 9846 0
//Nurmof spawned by andreas
594 - 2997 9843 0
//Betty spawned by andreas
583 - 3012 3258 0
//Brian spawned by andreas
559 - 3025 3250 0
//Gerrant spawned by andreas
12261 - 3014 3225 0
//Grum spawned by andreas
556 - 3012 3247 0
//Wydin spawned by andreas
557 - 3013 3206 0
//Brian spawned by andreas
1860 - 2957 3208 0
//Rommik spawned by andreas
585 - 2948 3204 0
//Shopkeeper spawned by andreas
555 - 2947 3215 0
//Shopkeeper spawned by andreas
555 - 2953 3214 0
//Valaine spawned by andreas
536 - 3190 3360 1
//Scavvo spawned by andreas
537 - 3192 3353 1
//Mr Ex spawned by andreas
3709 - 3087 3505 0
//Shopkeeper spawned by andreas
528 - 3079 3508 0
//Shop assistant spawned by andreas
